business_name,address,inspection_date,years_alive,latitude,longitude
"BLOCK 37 CTA DONUTS INC.,",108 N STATE ST ,02/22/2016,1,41.88342263701489,-87.62802165207536
GATEWAY NEWS STAND,108 N STATE ST ,10/31/2013,1,41.88342263701489,-87.62802165207536
BEARD PAPA SWEETS CAFE,108 N STATE ST ,03/15/2013,0,41.88342263701489,-87.62802165207536
ANDY'S FROZEN CUSTARD,108 N STATE ST ,11/14/2013,0,41.88342263701489,-87.62802165207536
GATEWAY NEWSTANDS,108 N STATE ST ,09/04/2013,0,41.88342263701489,-87.62802165207536
THE WESTMINSTER HOT DOG,11 N WELLS ST ,01/09/2014,0,41.882240508067696,-87.63369062959468
JIMMY JOHN'S-CANAL,1101 S CANAL ST ,01/26/2015,0,41.86888971111206,-87.63909892808796
KIKKA-SOUTH LOOP,1101 S CANAL ST ,07/29/2010,0,41.86888971111206,-87.63909892808796
FANNIE MAY CANDIES #103,1101 W JACKSON BLVD ,10/04/2012,0,41.877720207180666,-87.65469000110659
CAFE UNIVERSITY-1104 S WABASH,1104 S WABASH AVE ,04/02/2013,3,41.869062516556774,-87.6260157982796
1104 WABASH,1104 S WABASH AVE ,09/21/2010,3,41.869062516556774,-87.6260157982796
"M.H.R.,L.L.C.",1104 S WABASH AVE ,08/16/2010,0,41.869062516556774,-87.6260157982796
VINCENZO'S,1104 W MADISON ST ,10/13/2015,1,41.8817732248064,-87.65468908350952
PLUSH-CHICAGO,1104 W MADISON ST ,06/11/2012,0,41.8817732248064,-87.65468908350952
PLUSH-CHICAGO,1104 W MADISON ST ,08/13/2010,2,41.8817732248064,-87.65468908350952
THAI WOK,1104 W TAYLOR ST ,06/23/2014,1,41.86956301634025,-87.65446400361422
RED KIVA,1106-1108 W RANDOLPH ST ,10/09/2014,2,41.884388452228826,-87.6547611880752
HOULIHAN'S,111 E WACKER DR ,09/12/2014,2,41.88807942610461,-87.62404736976373
CAFE DESCARTES,111 E WACKER DR ,06/09/2014,0,41.88807942610461,-87.62404736976373
TOKYO LUNCH BOXES & CATERING,111 E WACKER DR ,12/04/2014,0,41.88807942610461,-87.62404736976373
EASTERN LOBBY SHOP #4028,111 E WACKER DR ,10/21/2013,1,41.88807942610461,-87.62404736976373
MACKELLYS,111 E WACKER DR ,10/10/2012,0,41.88807942610461,-87.62404736976373
RISEN ROLL BAKERY,111 E WACKER DR ,06/04/2012,0,41.88807942610461,-87.62404736976373
GUCKENHEIMER ENTERPRISES AT BA,111 E WACKER DR FL ,02/14/2012,1,41.88807942610461,-87.62404736976373
SUTTON'S GENERAL STORE,111 N CANAL ST ,10/17/2014,0,41.88356531275925,-87.63963728368088
AFC SUSHI @ MARSHALL FIELDS,111 N STATE ST ,10/26/2015,1,41.88347312241303,-87.62772975002919
"SARAH'S PASTRIES & CANDIES, INC.",111 N STATE ST ,09/13/2012,2,41.88347312241303,-87.62772975002919
KAFENIO,111 W JACKSON BLVD ,04/12/2016,1,41.87803442833617,-87.63117140697916
CITY PIZZA,111 W JACKSON BLVD ,01/08/2015,0,41.87803442833617,-87.63117140697916
LAVAZZA,111 W JACKSON BLVD ,05/04/2015,0,41.87803442833617,-87.63117140697916
TREAT SHOP,111 W JACKSON BLVD ,12/16/2014,1,41.87803442833617,-87.63117140697916
65 ASIAN KITCHKEN,111 W JACKSON BLVD ,01/13/2014,0,41.87803442833617,-87.63117140697916
FRESHII,111 W JACKSON BLVD ,12/17/2012,2,41.87803442833617,-87.63117140697916
BRIAZZ,111 W JACKSON BLVD ,08/16/2010,2,41.87803442833617,-87.63117140697916
OUICK STOP,111 W MONROE ST ,11/26/2014,0,41.88058226633407,-87.63120100893529
ARAMARK SERVICES @ HARRIS BANK,111 W MONROE ST ,08/21/2013,0,41.88058226633407,-87.63120100893529
ARAMARK SERVICES  INC-  HARRIS BANK,111 W MONROE ST ,04/17/2012,1,41.88058226633407,-87.63120100893529
MID CITY CARDS & GIFTS,111 W MONROE ST ,04/20/2010,2,41.88058226633407,-87.63120100893529
111 CONCESSION SHOP,111 W WASHINGTON ST ,10/22/2012,2,41.88310096249641,-87.63126322078455
TETE CHARCUTERIE,1110-1114 W RANDOLPH ST ,02/27/2014,2,41.88438520242565,-87.65493667358022
ESTATE,1111-1113 W LAKE ST ,03/27/2017,0,41.88542660452715,-87.65496569400409
THE INDIA GRILL,1112 S WABASH AVE ,10/06/2010,1,41.86883410488159,-87.6260089504118
PACKING HOUSE,1113-1115 W RANDOLPH ST ,10/02/2015,1,41.884164107908475,-87.6550171086728
PACKING HOUSE,1113-1115 W RANDOLPH ST ,09/19/2014,1,41.884164107908475,-87.6550171086728
ROBERTS PACKING CO,1114 W RANDOLPH ST ,10/22/2013,1,41.88438194255197,-87.65511215181314
ARISTA FOODS,112 N MAY ST ,01/13/2014,2,41.88340212156276,-87.65572529309269
THE ART INSTITUTE OF CHICAGO,112 S MICHIGAN AVE ,01/28/2013,1,41.880487542666714,-87.62450336093214
KENMARE CATERING AND EVENTS,112 S MICHIGAN AVE ,05/21/2013,0,41.880487542666714,-87.62450336093214
UNIVERSITY FOD SYSTEMS,112 S MICHIGAN AVE ,10/08/2010,0,41.880487542666714,-87.62450336093214
I DREAM OF FALAFEL,112 W MONROE ST ,12/20/2013,1,41.880801065513246,-87.63126132290381
BELLY UP SMOKEHOUSE AND SALOON,1132 S WABASH AVE ,11/09/2017,0,41.86826262122412,-87.62598811966616
SOFIA'S PIZZA,1132 W TAYLOR ST ,08/01/2014,0,41.86954627058427,-87.65550098867566
JIMMY JOHN'S - TAYLOR,1133 W TAYLOR ST ,03/04/2015,0,41.869326792512716,-87.65549441138509
SHORE EGG CO,1135 W FULTON MARKET ,06/17/2011,1,41.88657727577147,-87.65582194595257
ARTIST'S CAFE,1150 S WABASH AVE ,08/23/2016,1,41.8677514672266,-87.62597953025889
ARTISTS CAFE,1150 S WABASH AVE ,08/23/2016,0,41.8677514672266,-87.62597953025889
FRULLATI CAFE & BAKERY,1151 S STATE ST ,02/05/2015,0,41.86790450001522,-87.62728574017744
SOUTH LOOP FITPLEX,1151 S STATE ST ,09/25/2014,0,41.86790450001522,-87.62728574017744
EAT FIT,1151 S STATE ST ,06/02/2014,0,41.86790450001522,-87.62728574017744
TAYLOR STREET FOOD & LIQUOR,1152 W TAYLOR ST ,02/27/2015,1,41.86953212959897,-87.65634542207809
PIZZERIA DEL MERCATO,1154 W FULTON MARKET ,03/28/2017,1,41.88678769586561,-87.65669394874121
1154 FULTON MARKET,1154 W FULTON MARKET ,10/16/2014,0,41.88678769586561,-87.65669394874121
THE GARAGE,116 N ABERDEEN ST ,12/08/2016,0,41.88353769911732,-87.65456046337653
THE HAPPY LOBSTER LLC,116 N ABERDEEN ST ,04/10/2015,1,41.88353769911732,-87.65456046337653
CHICAGO RIVERWALK CAFE,117 W RIVERWALK SOUTH ,09/04/2013,0,41.886956254698745,-87.63149822471627
CHICAGO RIVERWALK CAFE,117 W RIVERWALK SOUTH ,07/07/2011,2,41.886956254698745,-87.63149822471627
THE LITTLE GREEN TREEHOUSE,118-130 S ASHLAND AVE ,03/15/2011,1,41.87956266352735,-87.66689803594284
MCDONALDS,119 N WABASH AVE ,10/18/2010,4,41.88371685128182,-87.62608622451462
WING STOP,12 E HARRISON ST ,11/21/2014,3,41.874489056706274,-87.6273652953713
CHICAGO ATHLETIC ASSOCIATION,12 S MICHIGAN AVE ,05/05/2015,0,41.8818033003784,-87.6245042738528
"ACE COFFEE BAR, INC",120 N Sangamon ST ,12/27/2017,0,41.883715075877426,-87.65106665042869
HAYMARKET CENTER,120 N Sangamon ST ,10/26/2015,2,41.883715075877426,-87.65106665042869
BOSTON BLACKIES OF RIVERSIDE,120 S RIVERSIDE PLZ ,10/01/2012,1,41.8799233059124,-87.63880253891777
BOMBAY WRAPS,122 N WELLS ST ,05/17/2010,4,41.88381277228157,-87.63402192801941
"LA BAMBA CHICAGO , INC",122 W MADISON ST ,05/01/2013,1,41.882080438558994,-87.63156879844429
TAYLOR MADE PIZZA,1220 W TAYLOR ST ,01/13/2017,0,41.86951345807197,-87.6575526165909
URBAN COUNTER,1221 S WABASH AVE FL ,06/27/2016,1,41.86683145443883,-87.62566960895664
AM/PM,1221-1223 S Wabash AVE ,09/08/2010,3,41.86683145443883,-87.62566960895664
GATEWAY NEWSTAND,123 N WACKER DR ,04/05/2016,0,41.88374821694136,-87.6366618383099
123 CONCESSION SHOP,123 N WACKER DR ,01/13/2011,3,41.88374821694136,-87.6366618383099
GRUB RESTAURANT CHICAGO,1230 W TAYLOR ST ,09/03/2015,1,41.86950816613224,-87.65791982305397
Sabor Express,1230 W Taylor ST ,10/29/2010,4,41.86950816613224,-87.65791982305397
DOMINO'S PIZZA,1234 S CANAL ST ,05/12/2016,0,41.86627726994009,-87.63936045226204
MA&I,1234 S MICHIGAN AVE ,06/12/2015,1,41.866489279306265,-87.62427930478904
INA'S,1235 W RANDOLPH ST ,10/09/2014,0,41.884113576693956,-87.6580816735995
Subway,1236 S CANAL ST ,10/08/2013,0,41.86622500448501,-87.63935831723984
SUBWAY,1236 S CANAL ST ,10/08/2013,0,41.86622500448501,-87.63935831723984
SUBWAY,1236 S CANAL ST ,05/11/2012,1,41.86622500448501,-87.63935831723984
"HONG KONG DELIGHT III, INC",1238 S CANAL ST ,06/19/2014,1,41.86617419725293,-87.63935715030641
MARBLE SLAB CREAMERY,1241 S MICHIGAN AVE ,09/29/2010,2,41.86633764880841,-87.62398187021554
7- ELEVEN,125 S CLARK ST ,11/16/2015,1,41.879988513046214,-87.63068884103123
SMOOTHIE CENTER,125 S CLARK ST ,11/16/2015,0,41.879988513046214,-87.63068884103123
SUBWAY,125 S CLARK ST ,11/16/2015,0,41.879988513046214,-87.63068884103123
DUNKIN DONUTS,125 S CLARK ST ,09/12/2013,2,41.879988513046214,-87.63068884103123
AU BON PAIN,125 S WACKER DR ,07/25/2012,0,41.88001342713154,-87.6365723845071
AU BON PAIN,125 S WACKER DR ,07/11/2011,1,41.88001342713154,-87.6365723845071
PITA HEAVEN,1250 S MICHIGAN AVE ,08/15/2016,0,41.86607358683167,-87.62426767322485
"LA HAVEN, INC",1250 S MICHIGAN AVE ,12/17/2014,2,41.86607358683167,-87.62426767322485
1250 SOUTH LLC,1250 S MICHIGAN AVE ,07/11/2013,1,41.86607358683167,-87.62426767322485
"KARAMELA ,COFFEE SWEETS AND CREPES",1250 S MICHIGAN AVE ,06/06/2011,2,41.86607358683167,-87.62426767322485
LITTLE BRANCH CAFE,1251 S PRAIRIE AVE ,05/27/2015,2,41.865931036719715,-87.621494195204
"LITTTLE BRANCH CAFE, INC.",1251 S PRAIRIE AVE ,02/25/2014,1,41.865931036719715,-87.621494195204
"LITTTLE BRANCH CAFE, INC.",1251 S PRAIRIE AVE ,05/30/2012,0,41.865931036719715,-87.621494195204
"LITTTLE BRANCH CAFE, INC.",1251 S PRAIRIE AVE ,05/29/2012,0,41.865931036719715,-87.621494195204
SUBWAY,1252 S HALSTED ST ,12/22/2014,1,41.865599403272746,-87.64701785971681
JTA SCHOOLS,1255 S STATE ST ,09/27/2013,0,41.86593147276504,-87.62724010325859
MARY SEARS CHILDREN'S ACADEMY,1255 S STATE ST ,04/23/2013,0,41.86593147276504,-87.62724010325859
DONNA'S CAFE,1255 S STATE ST ,08/20/2012,1,41.86593147276504,-87.62724010325859
LIFESTYLES TUCK SHOP,127 N DEARBORN ST ,11/15/2010,4,41.8838242127101,-87.6292895143421
7 ELEVEN #34724J,128 N LA SALLE ST ,10/20/2015,0,41.883970468541214,-87.63257344018366
7 ELEVEN #34724J,128 N LA SALLE ST ,11/14/2013,2,41.883970468541214,-87.63257344018366
7 ELEVEN #34724A,128 N LA SALLE ST ,10/05/2012,1,41.883970468541214,-87.63257344018366
7-ELEVEN #34724,128 N LA SALLE ST ,10/05/2012,0,41.883970468541214,-87.63257344018366
7-ELEVEN #34724,128 N LA SALLE ST ,11/19/2010,2,41.883970468541214,-87.63257344018366
HALSTED STREET DELI,128 S FRANKLIN ST ,07/17/2014,3,41.87993282070974,-87.63540257610033
DAB-QUIZNOS-SUB,128 S FRANKLIN ST ,01/29/2013,0,41.87993282070974,-87.63540257610033
QUIZNOS,128 S FRANKLIN ST ,09/26/2012,1,41.87993282070974,-87.63540257610033
GIORDANO'S OF PRUDENTIAL PLAZA,130 E RANDOLPH ST ,04/28/2014,1,41.884588371969095,-87.6232725610553
GIORDANO'S REST. & PIZZERIA,130 E RANDOLPH ST ,07/12/2011,0,41.884588371969095,-87.6232725610553
KARYN'S ON GREEN,130 S GREEN ST ,09/21/2011,4,41.87950076686327,-87.6486081180254
FIRST MERIT PAVILION,1300 S LYNN WHITE DR ,05/25/2017,0,41.866310062969625,-87.61027015449741
ARAMARK,1300 S LYNN WHITE DR ,05/26/2015,0,41.866310062969625,-87.61027015449741
ARAMARK,1300 S LYNN WHITE DR ,05/26/2015,0,41.866310062969625,-87.61027015449741
BUONA EVENT CATERING,1300 S LYNN WHITE DR ,05/26/2015,0,41.866310062969625,-87.61027015449741
BUONA EVENT CATERING,1300 S LYNN WHITE DR ,05/26/2015,0,41.866310062969625,-87.61027015449741
"LIVE NATION CHICAGO, INC.",1300 S LYNN WHITE DR ,05/26/2015,0,41.866310062969625,-87.61027015449741
ARAMARK,1300 S LYNN WHITE DR ,05/30/2014,1,41.866310062969625,-87.61027015449741
ARAMARK,1300 S LYNN WHITE DR ,05/27/2014,0,41.866310062969625,-87.61027015449741
ARAMARK,1300 S LYNN WHITE DR ,09/13/2013,0,41.866310062969625,-87.61027015449741
ARAMARK,1300 S LYNN WHITE DR ,09/13/2013,0,41.866310062969625,-87.61027015449741
ARAMARK,1300 S LYNN WHITE DR ,05/25/2012,1,41.866310062969625,-87.61027015449741
Acappella Bistro,1301 S Michigan AVE ,02/19/2010,3,41.86570260855135,-87.62396590534365
PANOZZO'S ITALIAN SPECIALTIES,1303 S MICHIGAN AVE ,07/08/2014,0,41.86564877988013,-87.62396517625166
ZAPATISTA,1307 S WABASH AVE ,12/17/2014,1,41.86551744937986,-87.62564805803324
EUREST DINING SERVICES,131 S DEARBORN ST ,10/24/2016,1,41.879885440300995,-87.62921159480324
JEWELL @ 131,131 S DEARBORN ST ,09/01/2010,6,41.879885440300995,-87.62921159480324
FLO & SANTO,1310 S WABASH AVE ,06/06/2011,3,41.86539975663988,-87.62593556962943
HOWIE'S,1310 S WABASH AVE ,03/09/2010,0,41.86539975663988,-87.62593556962943
HANA RESTAURANT,1311 W TAYLOR ST ,03/20/2015,1,41.869261794794866,-87.65965077399694
HANA,1311 W TAYLOR ST ,03/20/2015,0,41.869261794794866,-87.65965077399694
GOTHAM GRIND,1311 W TAYLOR ST ,05/03/2012,0,41.869261794794866,-87.65965077399694
THREE SON'S FOOD & LIQUOR,1311 W TAYLOR ST ,05/03/2012,0,41.869261794794866,-87.65965077399694
OSAKA EXPRESS,1311 W TAYLOR ST ,05/03/2012,0,41.869261794794866,-87.65965077399694
HOME CHEF,1321 W LAKE ST ,10/23/2014,1,41.88534982974968,-87.65973207609751
KLM PACKING COMPANY,1321 W LAKE ST ,10/08/2014,0,41.88534982974968,-87.65973207609751
Three Aces Restaurant,1321-1323 W TAYLOR ST ,06/24/2016,1,41.86925517406011,-87.6600617423072
JAMBA JUICE,1322 S HALSTED ST ,10/21/2015,0,41.86481081595784,-87.64699485941387
JAMBA JUICE COMPANY,1322 S HALSTED ST ,09/30/2014,1,41.86481081595784,-87.64699485941387
MORGAN'S BAR AND GRILL,1325 S HALSTED ST ,10/30/2013,1,41.864755663393886,-87.64669917908262
THE WALLACE INSTITUTE INC,1325 S STATE ST ,08/22/2012,0,41.86500783111907,-87.62722405946377
CARIBOU COFFEE COMPANY INC.,1328 S HALSTED ST ,09/12/2014,0,41.864750024522216,-87.64699276962497
HALSTED STREET DELI & BAGEL,133 N WELLS ST ,09/30/2014,3,41.884067381267,-87.63373557888184
QUIZNOS,1332 S HALSTED ST ,09/01/2016,0,41.864614072081494,-87.64698870884922
"MONTESSORI ACADEMY OF CHICAGO I, LLC",1335 W RANDOLPH ST ,03/24/2010,2,41.88408323487089,-87.66026975842354
SCAFURI BAKERY,1337 W TAYLOR ST ,08/12/2014,0,41.869243925932324,-87.66072004882703
MISTA PIZZA,134 N LA SALLE ST ,08/22/2011,2,41.88411126733353,-87.63257638523856
LAVAZZA,134 N LA SALLE ST ,10/04/2010,1,41.88411126733353,-87.63257638523856
DOMINICK'S #147/1147,1340 S CANAL ST ,02/24/2014,0,41.86452119374353,-87.63930409963562
SUNRISE MARKET,1340 W MADISON ST ,08/15/2011,1,41.8816593852002,-87.66123088985559
SODEXO AMERICA,135 S LA SALLE ST ,08/05/2015,1,41.88007990497847,-87.63216418853727
A & B TABACCO,135 S LA SALLE ST ,06/23/2011,3,41.88007990497847,-87.63216418853727
ABN AMRO SVCS - MAIN BANK,135 S LA SALLE ST ,06/23/2011,0,41.88007990497847,-87.63216418853727
SAWTOOTH RESTAURANT AND LOUNGE,1350 W RANDOLPH ST ,10/22/2014,1,41.884295957878926,-87.66077034614929
COUNTY BARBEQUE,1352 W TAYLOR ST ,02/09/2016,1,41.86945393993995,-87.6613382920454
ALAIN'S RESTAURANT,1355 S MICHIGAN AVE ,07/24/2012,1,41.864248796634286,-87.62393362748476
312 Chicago,136 N LA SALLE ST ,08/22/2011,2,41.88415863562357,-87.63257719833739
LA LUCE,1393 W LAKE ST ,06/12/2015,1,41.88530742371421,-87.66233714825695
BROWN CAFE CHICAGO,1400 S JEFFERSON ST ,07/02/2014,0,41.86350135244771,-87.64220950077579
"QuiteFrankly,Ltd.",1400 S JEFFERSON ST ,07/06/2010,4,41.86350135244771,-87.64220950077579
MCDONALDS #7463,1400 S LAKE SHORE DR ,09/17/2013,1,41.864035639813686,-87.61929706919213
WAFFLES,1400 S MICHIGAN AVE ,05/19/2016,0,41.86400154354981,-87.62422572913971
THE CHICAGO FIREHOUSE REST.,1401 S MICHIGAN AVE ,05/03/2012,3,41.8640025957384,-87.62393204930055
LASALLE NEWS INC,141 W JACKSON BLVD ,04/04/2011,0,41.87802565526084,-87.63206228626694
SPORTSERVICE SOLDIER FIELD,1410 S MUSEUM CAMPUS DR ,09/23/2013,0,41.862628294037634,-87.61503109411329
SPORTSERVICE SOLDIER FIELD,1410 S MUSEUM CAMPUS DR ,09/19/2013,0,41.862628294037634,-87.61503109411329
SPORTSERVICE SOLDIER FIELD,1410 S MUSEUM CAMPUS DR ,09/19/2013,0,41.862628294037634,-87.61503109411329
SPORT SERVICE SOLDIER FIELD,1410 S MUSEUM CAMPUS DR ,09/19/2013,0,41.862628294037634,-87.61503109411329
SPORT SERVICE SOLDIER FIELD,1410 S MUSEUM CAMPUS DR ,09/19/2013,0,41.862628294037634,-87.61503109411329
SPORTSERVICE SOLDIER FIELD,1410 S MUSEUM CAMPUS DR ,09/19/2013,0,41.862628294037634,-87.61503109411329
SPORTSERVICE SOLDIER FIELD,1410 S MUSEUM CAMPUS DR ,06/18/2013,0,41.862628294037634,-87.61503109411329
SPORTSERVICE SOLDIER FIELD,1410 S MUSEUM CAMPUS DR ,11/15/2013,0,41.862628294037634,-87.61503109411329
SPORTSERVICE SOLDIER FIELD,1410 S MUSEUM CAMPUS DR ,11/15/2013,0,41.862628294037634,-87.61503109411329
